hold=,line=786,char=22,frame=70097
hold=,line=11,char=1,frame=855
hold=,line=22,char=1,frame=1666
hold=,line=31,char=1,frame=2476
hold=,line=42,char=1,frame=3538
hold=,line=51,char=1,frame=4367
hold=,line=61,char=1,frame=5437
hold=,line=67,char=1,frame=6500
hold=,line=75,char=1,frame=7254
hold=,line=84,char=1,frame=8028
hold=,line=94,char=1,frame=8903
hold=,line=115,char=1,frame=10391
hold=,line=126,char=1,frame=11393
hold=,line=142,char=1,frame=12395
hold=,line=152,char=1,frame=13398
hold=,line=160,char=1,frame=14196
hold=,line=170,char=1,frame=15204
hold=,line=179,char=1,frame=16046
hold=,line=188,char=1,frame=16866
hold=,line=197,char=1,frame=17872
hold=,line=205,char=1,frame=18786
hold=,line=214,char=1,frame=19852
hold=,line=222,char=1,frame=20703
hold=,line=227,char=1,frame=21514
hold=,line=231,char=1,frame=22397
hold=,line=235,char=1,frame=23230
hold=,line=239,char=1,frame=24200
hold=,line=253,char=1,frame=24972
hold=,line=264,char=1,frame=25775
hold=,line=273,char=1,frame=26554
hold=,line=283,char=1,frame=27416
hold=,line=295,char=1,frame=28241
hold=,line=304,char=1,frame=29033
hold=,line=312,char=1,frame=29937
hold=,line=322,char=1,frame=30751
hold=,line=330,char=1,frame=31610
hold=,line=338,char=1,frame=32454
hold=,line=347,char=1,frame=33459
hold=,line=357,char=1,frame=34312
hold=,line=366,char=1,frame=35083
hold=,line=375,char=1,frame=35964
hold=,line=385,char=1,frame=36796
hold=,line=394,char=1,frame=37588
hold=,line=404,char=1,frame=38374
hold=,line=412,char=1,frame=39207
hold=,line=421,char=1,frame=40051
hold=,line=430,char=1,frame=41296
hold=,line=439,char=1,frame=42124
hold=,line=448,char=1,frame=42931
hold=,line=457,char=1,frame=44175
hold=,line=465,char=1,frame=44945
hold=,line=473,char=1,frame=45797
hold=,line=482,char=1,frame=46573
hold=,line=503,char=1,frame=47320
hold=,line=513,char=1,frame=48150
hold=,line=522,char=1,frame=48918
hold=,line=533,char=1,frame=49658
hold=,line=542,char=1,frame=50381
hold=,line=566,char=1,frame=51146
hold=,line=576,char=1,frame=51914
hold=,line=585,char=1,frame=52659
hold=,line=597,char=1,frame=53905
hold=,line=607,char=1,frame=54698
hold=,line=616,char=1,frame=55527
hold=,line=625,char=1,frame=56419
hold=,line=633,char=1,frame=57721
hold=,line=650,char=1,frame=58576
hold=,line=658,char=1,frame=59349
hold=,line=668,char=1,frame=60247
hold=,line=677,char=1,frame=61063
hold=,line=688,char=1,frame=62312
hold=,line=697,char=1,frame=63080
hold=,line=705,char=1,frame=63875
hold=,line=713,char=1,frame=64633
hold=,line=724,char=1,frame=65634
hold=,line=733,char=1,frame=66397
hold=,line=746,char=1,frame=67342
hold=,line=754,char=1,frame=68515
hold=,line=782,char=1,frame=69665
hold=,line=791,char=1,frame=70455
hold=,line=807,char=1,frame=71272
hold=,line=817,char=1,frame=72104
hold=,line=826,char=1,frame=72872
hold=,line=834,char=1,frame=73651
hold=,line=845,char=1,frame=74655
hold=,line=852,char=1,frame=75732
hold=,line=861,char=1,frame=76476
hold=,line=869,char=1,frame=77307
hold=,line=893,char=1,frame=78095
hold=,line=904,char=1,frame=79100
hold=,line=911,char=1,frame=79920
